Days,Stock_A,Stock_B,Optimal_Lag,P_Value_A_to_B,Causal_A_to_B,P_Value_B_to_A,Causal_B_to_A
30,AAPL,BBAI,1,0.7941,No,0.5239,No
30,AAPL,SOUN,1,0.0804,No,0.4234,No
30,AAPL,QUBT,8,0.2215,No,0.7669,No
30,AAPL,OKLO,1,0.2934,No,0.1237,No
30,AAPL,RKLB,1,0.2034,No,0.4334,No
30,AAPL,AI,1,0.5394,No,0.9926,No
30,AAPL,AKAM,1,0.0235,Yes,0.5627,No
30,GOOG,BBAI,1,0.363,No,0.378,No
30,GOOG,SOUN,1,0.2277,No,0.3492,No
30,GOOG,QUBT,8,0.3316,No,0.6729,No
30,GOOG,OKLO,1,0.1445,No,0.2376,No
30,GOOG,RKLB,1,0.2271,No,0.2814,No
30,GOOG,AI,1,0.8165,No,0.5064,No
30,GOOG,AKAM,1,0.9898,No,0.1416,No
30,MSFT,BBAI,1,0.8617,No,0.5622,No
30,MSFT,SOUN,1,0.0464,Yes,0.3799,No
30,MSFT,QUBT,8,0.3644,No,0.6831,No
30,MSFT,OKLO,1,0.172,No,0.1332,No
30,MSFT,RKLB,1,0.098,No,0.278,No
30,MSFT,AI,1,0.9173,No,0.5689,No
30,MSFT,AKAM,1,0.3374,No,0.5885,No
30,NVDA,BBAI,1,0.7783,No,0.6589,No
30,NVDA,SOUN,1,0.1924,No,0.8721,No
30,NVDA,QUBT,8,0.6611,No,0.8032,No
30,NVDA,OKLO,1,0.4593,No,0.3419,No
30,NVDA,RKLB,1,0.2074,No,0.7687,No
30,NVDA,AI,1,0.2471,No,0.1849,No
30,NVDA,AKAM,1,0.7049,No,0.2517,No
30,META,BBAI,1,0.7334,No,0.846,No
30,META,SOUN,1,0.0272,Yes,0.3131,No
30,META,QUBT,7,0.1255,No,0.1126,No
30,META,OKLO,1,0.0736,No,0.0828,No
30,META,RKLB,1,0.0446,Yes,0.2238,No
30,META,AI,1,0.93,No,0.6985,No
30,META,AKAM,1,0.3909,No,0.2182,No
30,AMZN,BBAI,1,0.7945,No,0.5847,No
30,AMZN,SOUN,1,0.1959,No,0.862,No
30,AMZN,QUBT,7,0.1572,No,0.4733,No
30,AMZN,OKLO,1,0.3542,No,0.3715,No
30,AMZN,RKLB,1,0.1565,No,0.9454,No
30,AMZN,AI,1,0.4725,No,0.1471,No
30,AMZN,AKAM,1,0.9156,No,0.3093,No
30,TSLA,BBAI,1,0.9712,No,0.7023,No
30,TSLA,SOUN,1,0.4423,No,0.834,No
30,TSLA,QUBT,8,0.9851,No,0.5755,No
30,TSLA,OKLO,1,0.2109,No,0.1027,No
30,TSLA,RKLB,1,0.2724,No,0.7934,No
30,TSLA,AI,8,0.4205,No,0.0717,No
30,TSLA,AKAM,1,0.7756,No,0.2517,No
60,AAPL,BBAI,1,0.7641,No,0.1396,No
60,AAPL,SOUN,1,0.1571,No,0.1424,No
60,AAPL,QUBT,1,0.2622,No,0.1252,No
60,AAPL,OKLO,1,0.5244,No,0.0451,Yes
60,AAPL,RKLB,1,0.102,No,0.0595,No
60,AAPL,AI,1,0.1142,No,0.3505,No
60,AAPL,AKAM,7,0.0044,Yes,0.0432,Yes
60,GOOG,BBAI,1,0.9641,No,0.951,No
60,GOOG,SOUN,1,0.0622,No,0.149,No
60,GOOG,QUBT,1,0.8823,No,0.1329,No
60,GOOG,OKLO,1,0.0629,No,0.17,No
60,GOOG,RKLB,1,0.0181,Yes,0.0701,No
60,GOOG,AI,1,0.2411,No,0.7537,No
60,GOOG,AKAM,7,0.1986,No,0.1167,No
60,MSFT,BBAI,8,0.721,No,0.6455,No
60,MSFT,SOUN,8,0.0454,Yes,0.8723,No
60,MSFT,QUBT,1,0.2318,No,0.2796,No
60,MSFT,OKLO,1,0.0159,Yes,0.1773,No
60,MSFT,RKLB,1,0.002,Yes,0.1094,No
60,MSFT,AI,7,0.4299,No,0.2899,No
60,MSFT,AKAM,7,0.5549,No,0.0543,No
60,NVDA,BBAI,8,0.491,No,0.8541,No
60,NVDA,SOUN,8,0.6434,No,0.3512,No
60,NVDA,QUBT,7,0.5776,No,0.8552,No
60,NVDA,OKLO,1,0.4206,No,0.3356,No
60,NVDA,RKLB,8,0.0639,No,0.2604,No
60,NVDA,AI,8,0.6279,No,0.5919,No
60,NVDA,AKAM,8,0.718,No,0.1391,No
60,META,BBAI,1,0.8449,No,0.2204,No
60,META,SOUN,1,0.1867,No,0.5943,No
60,META,QUBT,1,0.8664,No,0.0202,Yes
60,META,OKLO,1,0.5312,No,0.1468,No
60,META,RKLB,1,0.0406,Yes,0.1895,No
60,META,AI,1,0.7343,No,0.8618,No
60,META,AKAM,8,0.0229,Yes,0.0771,No
60,AMZN,BBAI,8,0.1619,No,0.7007,No
60,AMZN,SOUN,8,0.0919,No,0.8832,No
60,AMZN,QUBT,7,0.676,No,0.6425,No
60,AMZN,OKLO,1,0.1808,No,0.1817,No
60,AMZN,RKLB,8,0.005,Yes,0.3116,No
60,AMZN,AI,7,0.3855,No,0.875,No
60,AMZN,AKAM,7,0.1519,No,0.0282,Yes
60,TSLA,BBAI,8,0.0036,Yes,0.4636,No
60,TSLA,SOUN,1,0.6382,No,0.9149,No
60,TSLA,QUBT,7,0.3358,No,0.7511,No
60,TSLA,OKLO,1,0.6256,No,0.0668,No
60,TSLA,RKLB,1,0.2039,No,0.5629,No
60,TSLA,AI,1,0.8353,No,0.9019,No
60,TSLA,AKAM,1,0.705,No,0.9283,No
90,AAPL,BBAI,15,0.9435,No,0.7662,No
90,AAPL,SOUN,1,0.7026,No,0.2961,No
90,AAPL,QUBT,1,0.373,No,0.0738,No
90,AAPL,OKLO,7,0.6028,No,0.3472,No
90,AAPL,RKLB,8,0.0136,Yes,0.0474,Yes
90,AAPL,AI,1,0.8403,No,0.3964,No
90,AAPL,AKAM,1,0.7811,No,0.848,No
90,GOOG,BBAI,14,0.0872,No,0.6176,No
90,GOOG,SOUN,1,0.5717,No,0.6059,No
90,GOOG,QUBT,1,0.7873,No,0.1396,No
90,GOOG,OKLO,14,0.0001,Yes,0.2616,No
90,GOOG,RKLB,8,0.3328,No,0.8359,No
90,GOOG,AI,1,0.5886,No,0.3925,No
90,GOOG,AKAM,1,0.3489,No,0.5277,No
90,MSFT,BBAI,7,0.9158,No,0.2598,No
90,MSFT,SOUN,8,0.3168,No,0.6216,No
90,MSFT,QUBT,7,0.5886,No,0.295,No
90,MSFT,OKLO,7,0.5586,No,0.0652,No
90,MSFT,RKLB,8,0.2075,No,0.3415,No
90,MSFT,AI,7,0.1799,No,0.0143,Yes
90,MSFT,AKAM,7,0.5287,No,0.1731,No
90,NVDA,BBAI,14,0.9292,No,0.335,No
90,NVDA,SOUN,1,0.7995,No,0.7946,No
90,NVDA,QUBT,1,0.5407,No,0.769,No
90,NVDA,OKLO,8,0.6223,No,0.0627,No
90,NVDA,RKLB,8,0.1081,No,0.2909,No
90,NVDA,AI,1,0.5209,No,0.0706,No
90,NVDA,AKAM,1,0.1463,No,0.2703,No
90,META,BBAI,8,0.5913,No,0.6032,No
90,META,SOUN,8,0.0095,Yes,0.5368,No
90,META,QUBT,8,0.29,No,0.284,No
90,META,OKLO,8,0.1712,No,0.558,No
90,META,RKLB,8,0.0006,Yes,0.6063,No
90,META,AI,8,0.2077,No,0.0935,No
90,META,AKAM,8,0.01,Yes,0.2578,No
90,AMZN,BBAI,14,0.6596,No,0.7015,No
90,AMZN,SOUN,1,0.2038,No,0.6492,No
90,AMZN,QUBT,1,0.3148,No,0.2137,No
90,AMZN,OKLO,7,0.4264,No,0.0617,No
90,AMZN,RKLB,8,0.0097,Yes,0.8644,No
90,AMZN,AI,1,0.8718,No,0.6528,No
90,AMZN,AKAM,1,0.2616,No,0.3454,No
90,TSLA,BBAI,14,0.0149,Yes,0.3586,No
90,TSLA,SOUN,8,0.1205,No,0.7462,No
90,TSLA,QUBT,8,0.0037,Yes,0.6812,No
90,TSLA,OKLO,8,0.1702,No,0.3268,No
90,TSLA,RKLB,8,0.006,Yes,0.5865,No
90,TSLA,AI,8,0.1029,No,0.993,No
90,TSLA,AKAM,8,0.1598,No,0.1516,No
180,AAPL,BBAI,14,0.6591,No,0.1783,No
180,AAPL,SOUN,8,0.4642,No,0.5447,No
180,AAPL,QUBT,2,0.9354,No,0.5208,No
180,AAPL,OKLO,7,0.2679,No,0.477,No
180,AAPL,RKLB,7,0.0016,Yes,0.0437,Yes
180,AAPL,AI,8,0.1496,No,0.0105,Yes
180,AAPL,AKAM,1,0.9244,No,0.9697,No
180,GOOG,BBAI,14,0.3929,No,0.0009,Yes
180,GOOG,SOUN,8,0.1763,No,0.3126,No
180,GOOG,QUBT,8,0.0682,No,0.0544,No
180,GOOG,OKLO,7,0.2501,No,0.032,Yes
180,GOOG,RKLB,7,0.0621,No,0.1557,No
180,GOOG,AI,8,0.0185,Yes,0.0881,No
180,GOOG,AKAM,1,0.0446,Yes,0.7832,No
180,MSFT,BBAI,14,0.992,No,0.169,No
180,MSFT,SOUN,1,0.6243,No,0.3355,No
180,MSFT,QUBT,2,0.7357,No,0.4722,No
180,MSFT,OKLO,1,0.2078,No,0.1023,No
180,MSFT,RKLB,1,0.0429,Yes,0.0405,Yes
180,MSFT,AI,1,0.8384,No,0.2756,No
180,MSFT,AKAM,1,0.5723,No,0.5887,No
180,NVDA,BBAI,14,0.9458,No,0.0138,Yes
180,NVDA,SOUN,1,0.4266,No,0.1613,No
180,NVDA,QUBT,2,0.3536,No,0.5747,No
180,NVDA,OKLO,1,0.254,No,0.8989,No
180,NVDA,RKLB,7,0.0004,Yes,0.005,Yes
180,NVDA,AI,8,0.039,Yes,0.0286,Yes
180,NVDA,AKAM,1,0.0915,No,0.9852,No
180,META,BBAI,14,0.6309,No,0.0533,No
180,META,SOUN,8,0.4492,No,0.1931,No
180,META,QUBT,8,0.1276,No,0.486,No
180,META,OKLO,8,0.0042,Yes,0.1873,No
180,META,RKLB,8,0.0,Yes,0.1988,No
180,META,AI,8,0.1044,No,0.0443,Yes
180,META,AKAM,8,0.0018,Yes,0.1901,No
180,AMZN,BBAI,14,0.3035,No,0.2738,No
180,AMZN,SOUN,8,0.2309,No,0.6302,No
180,AMZN,QUBT,8,0.1456,No,0.7653,No
180,AMZN,OKLO,7,0.0933,No,0.2539,No
180,AMZN,RKLB,8,0.0156,Yes,0.3888,No
180,AMZN,AI,8,0.4102,No,0.5633,No
180,AMZN,AKAM,8,0.012,Yes,0.2015,No
180,TSLA,BBAI,14,0.3571,No,0.0621,No
180,TSLA,SOUN,8,0.2114,No,0.1004,No
180,TSLA,QUBT,8,0.0,Yes,0.0223,Yes
180,TSLA,OKLO,7,0.1662,No,0.0249,Yes
180,TSLA,RKLB,1,0.1067,No,0.0038,Yes
180,TSLA,AI,1,0.3029,No,0.1393,No
180,TSLA,AKAM,7,0.0011,Yes,0.0008,Yes
360,AAPL,BBAI,14,0.4299,No,0.0062,Yes
360,AAPL,SOUN,8,0.2576,No,0.0492,Yes
360,AAPL,QUBT,8,0.2613,No,0.2159,No
360,AAPL,OKLO,15,0.0154,Yes,0.0002,Yes
360,AAPL,RKLB,14,0.0007,Yes,0.0002,Yes
360,AAPL,AI,8,0.1645,No,0.0,Yes
360,AAPL,AKAM,8,0.3003,No,0.0242,Yes
360,GOOG,BBAI,14,0.166,No,0.0,Yes
360,GOOG,SOUN,14,0.0007,Yes,0.0149,Yes
360,GOOG,QUBT,8,0.0106,Yes,0.0151,Yes
360,GOOG,OKLO,14,0.0073,Yes,0.0059,Yes
360,GOOG,RKLB,14,0.2387,No,0.0613,No
360,GOOG,AI,14,0.0018,Yes,0.0,Yes
360,GOOG,AKAM,8,0.0031,Yes,0.0203,Yes
360,MSFT,BBAI,14,0.9185,No,0.0401,Yes
360,MSFT,SOUN,8,0.6885,No,0.6015,No
360,MSFT,QUBT,8,0.664,No,0.2529,No
360,MSFT,OKLO,8,0.043,Yes,0.7311,No
360,MSFT,RKLB,8,0.0009,Yes,0.0045,Yes
360,MSFT,AI,8,0.2576,No,0.008,Yes
360,MSFT,AKAM,8,0.0253,Yes,0.0935,No
360,NVDA,BBAI,14,0.7748,No,0.0023,Yes
360,NVDA,SOUN,14,0.4484,No,0.299,No
360,NVDA,QUBT,14,0.0602,No,0.1984,No
360,NVDA,OKLO,14,0.0048,Yes,0.2672,No
360,NVDA,RKLB,15,0.0013,Yes,0.0021,Yes
360,NVDA,AI,14,0.0014,Yes,0.0013,Yes
360,NVDA,AKAM,8,0.0053,Yes,0.0008,Yes
360,META,BBAI,14,0.4053,No,0.0019,Yes
360,META,SOUN,14,0.0079,Yes,0.1437,No
360,META,QUBT,8,0.0169,Yes,0.2331,No
360,META,OKLO,14,0.0,Yes,0.0009,Yes
360,META,RKLB,8,0.0,Yes,0.0123,Yes
360,META,AI,8,0.1254,No,0.0001,Yes
360,META,AKAM,8,0.0,Yes,0.02,Yes
360,AMZN,BBAI,14,0.0878,No,0.0548,No
360,AMZN,SOUN,14,0.0013,Yes,0.4858,No
360,AMZN,QUBT,14,0.005,Yes,0.7015,No
360,AMZN,OKLO,7,0.0035,Yes,0.0464,Yes
360,AMZN,RKLB,14,0.0038,Yes,0.1492,No
360,AMZN,AI,8,0.0021,Yes,0.0324,Yes
360,AMZN,AKAM,8,0.0001,Yes,0.0533,No
360,TSLA,BBAI,14,0.054,No,0.0023,Yes
360,TSLA,SOUN,14,0.0551,No,0.031,Yes
360,TSLA,QUBT,14,0.0,Yes,0.0029,Yes
360,TSLA,OKLO,7,0.0028,Yes,0.0,Yes
360,TSLA,RKLB,14,0.0023,Yes,0.0641,No
360,TSLA,AI,8,0.0001,Yes,0.022,Yes
360,TSLA,AKAM,15,0.0005,Yes,0.0001,Yes
720,AAPL,BBAI,14,0.015,Yes,0.0,Yes
720,AAPL,SOUN,15,0.049,Yes,0.0,Yes
720,AAPL,QUBT,14,0.0638,No,0.0022,Yes
720,AAPL,OKLO,15,0.0154,Yes,0.0002,Yes
720,AAPL,RKLB,14,0.0,Yes,0.0,Yes
720,AAPL,AI,14,0.1156,No,0.0,Yes
720,AAPL,AKAM,8,0.0399,Yes,0.0001,Yes
720,GOOG,BBAI,15,0.0179,Yes,0.0,Yes
720,GOOG,SOUN,14,0.0,Yes,0.0,Yes
720,GOOG,QUBT,14,0.0014,Yes,0.004,Yes
720,GOOG,OKLO,14,0.0073,Yes,0.0059,Yes
720,GOOG,RKLB,14,0.0107,Yes,0.0006,Yes
720,GOOG,AI,15,0.0001,Yes,0.0,Yes
720,GOOG,AKAM,15,0.0008,Yes,0.0,Yes
720,MSFT,BBAI,14,0.436,No,0.0002,Yes
720,MSFT,SOUN,15,0.0201,Yes,0.0643,No
720,MSFT,QUBT,15,0.5625,No,0.4027,No
720,MSFT,OKLO,8,0.043,Yes,0.7311,No
720,MSFT,RKLB,14,0.0,Yes,0.0037,Yes
720,MSFT,AI,14,0.0,Yes,0.0,Yes
720,MSFT,AKAM,15,0.0,Yes,0.0001,Yes
720,NVDA,BBAI,14,0.3111,No,0.0,Yes
720,NVDA,SOUN,14,0.0055,Yes,0.0015,Yes
720,NVDA,QUBT,14,0.0001,Yes,0.0036,Yes
720,NVDA,OKLO,14,0.0048,Yes,0.2672,No
720,NVDA,RKLB,15,0.0,Yes,0.0,Yes
720,NVDA,AI,14,0.0005,Yes,0.0032,Yes
720,NVDA,AKAM,15,0.0,Yes,0.0,Yes
720,META,BBAI,14,0.0421,Yes,0.0,Yes
720,META,SOUN,14,0.0,Yes,0.0022,Yes
720,META,QUBT,14,0.0,Yes,0.1832,No
720,META,OKLO,14,0.0,Yes,0.0009,Yes
720,META,RKLB,14,0.0,Yes,0.0038,Yes
720,META,AI,14,0.001,Yes,0.0,Yes
720,META,AKAM,15,0.0,Yes,0.0002,Yes
720,AMZN,BBAI,14,0.0027,Yes,0.0,Yes
720,AMZN,SOUN,14,0.0,Yes,0.0316,Yes
720,AMZN,QUBT,14,0.0,Yes,0.2288,No
720,AMZN,OKLO,7,0.0035,Yes,0.0464,Yes
720,AMZN,RKLB,14,0.0,Yes,0.0111,Yes
720,AMZN,AI,14,0.0001,Yes,0.0002,Yes
720,AMZN,AKAM,15,0.0,Yes,0.0005,Yes
720,TSLA,BBAI,14,0.0126,Yes,0.0,Yes
720,TSLA,SOUN,15,0.0004,Yes,0.0009,Yes
720,TSLA,QUBT,15,0.0,Yes,0.0,Yes
720,TSLA,OKLO,7,0.0028,Yes,0.0,Yes
720,TSLA,RKLB,14,0.0,Yes,0.0003,Yes
720,TSLA,AI,15,0.0139,Yes,0.0004,Yes
720,TSLA,AKAM,15,0.0,Yes,0.0,Yes
